# Hydrogeological attributes derived from the hydrogeologic map of Switzerland by Swisstopo
gauge_id,unconsol_coarse_perc,unconsol_medium_perc,unconsol_fine_perc,unconsol_imperm_perc,hardrock_perc,hardrock_imperm_perc,karst_perc,water_perc,null_perc,ext_area_perc
4018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
4019,0.0,0.0,87.13,12.54,0.0,0.0,0.0,0.33,0.0,0.0
4020,10.44,1.37,43.95,4.94,5.06,30.89,0.0,0.34,3.01,0.0
4021,18.018,0.0,55.394,2.32,4.52,19.568,0.0,0.1,0.08,0.0
4022,0.0,0.0,89.99,9.24,0.0,0.22,0.0,0.55,0.0,0.0
4023,25.06,0.0,38.8,0.0,7.24,28.9,0.0,0.0,0.0,0.0
4024,2.25,0.0,6.42,0.0,0.0,91.33,0.0,0.0,0.0,0.0
4025,12.43,0.0,23.13,0.0,10.19,51.66,0.0,0.1,2.48,0.01
4026,11.57,0.0,30.22,0.0,18.65,37.96,0.0,0.0,1.6,0.0
5001,0.0,0.0,39.52,0.0,0.0,0.0,60.48,0.0,0.0,0.0
5002,0.0,0.0,11.12,0.0,0.0,0.0,88.88,0.0,0.0,0.0
5003,1.72,2.43,76.85,0.0,0.65,6.12,12.23,0.0,0.0,0.0
5004,0.0,0.0,6.219,9.449,7.509,3.55,69.883,3.39,0.0,0.0
5005,0.0,0.0,0.65,0.0,0.0,0.0,99.35,0.0,0.0,0.0
5006,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
5007,0.0,0.0,0.24,0.0,0.0,0.0,99.76,0.0,0.0,0.0
5008,0.0,11.56,53.62,6.21,1.57,16.88,10.16,0.0,0.0,0.0
5009,0.0,0.0,6.24,0.0,0.42,0.01,93.33,0.0,0.0,0.0
5010,0.0,0.0,20.88,0.0,0.0,0.05,79.07,0.0,0.0,0.0
5011,0.0,5.6,27.48,10.38,0.0,0.0,55.91,0.63,0.0,0.0
5012,0.0,0.82,5.33,0.19,0.29,0.01,91.48,1.88,0.0,0.0
5013,0.01,0.7,4.83,0.12,3.38,0.01,89.701,1.25,0.0,0.0
5014,0.0,0.59,4.27,0.13,1.73,0.01,91.87,1.4,0.0,0.0
5015,0.0,0.45,73.07,15.2,0.0,11.28,0.0,0.0,0.0,0.0
